"$R1 [mm]","$R2 [mm]","$R3 [mm]","$R4 [mm]","Freq [GHz]","dB(St(1,1)) []"
0.76,1,1.75,2,16.1,-1.01606327758865
0.76,1,1.75,2,16.11,-1.01123358635254
0.76,1,1.75,2,16.12,-1.00657289885161
0.76,1,1.75,2,16.13,-1.00207928390916
0.76,1,1.75,2,16.14,-0.997750875847655
0.76,1,1.75,2,16.15,-0.993585873709398
0.76,1,1.75,2,16.16,-0.989582540477286
0.76,1,1.75,2,16.17,-0.985739202298278
0.76,1,1.75,2,16.18,-0.982054247711536
0.76,1,1.75,2,16.19,-0.978526126883351
0.76,1,1.75,2,16.2,-0.975153350850542
0.76,1,1.75,2,16.21,-0.97193449077399
0.76,1,1.75,2,16.22,-0.968868177203661
0.76,1,1.75,2,16.23,-0.965953099356455
0.76,1,1.75,2,16.24,-0.963188004407991
0.76,1,1.75,2,16.25,-0.960571696799309
0.76,1,1.75,2,16.26,-0.958103037559408
0.76,1,1.75,2,16.27,-0.955780943644368
0.76,1,1.75,2,16.28,-0.953604387293759
0.76,1,1.75,2,16.29,-0.951572395404862
0.76,1,1.75,2,16.3,-0.94968404892527
0.76,1,1.75,2,16.31,-0.947938482264192
0.76,1,1.75,2,16.32,-0.946334882722928
0.76,1,1.75,2,16.33,-0.944872489944615
0.76,1,1.75,2,16.34,-0.943550595383659
0.76,1,1.75,2,16.35,-0.942368541794812
0.76,1,1.75,2,16.36,-0.941325722742162
0.76,1,1.75,2,16.37,-0.940421582127971
0.76,1,1.75,2,16.38,-0.93965561374144
0.76,1,1.75,2,16.39,-0.939027360827326
0.76,1,1.75,2,16.4,-0.938536415674363
0.76,1,1.75,2,16.41,-0.938182419223356
0.76,1,1.75,2,16.42,-0.937965060694834
0.76,1,1.75,2,16.43,-0.937884077236037
0.76,1,1.75,2,16.44,-0.937939253587068
0.76,1,1.75,2,16.45,-0.938130421765951
0.76,1,1.75,2,16.46,-0.938457460772366
0.76,1,1.75,2,16.47,-0.938920296309661
0.76,1,1.75,2,16.48,-0.939518900524996
0.76,1,1.75,2,16.49,-0.940253291767085
0.76,1,1.75,2,16.5,-0.941123534361294
0.76,1,1.75,2,16.51,-0.942129738401653
0.76,1,1.75,2,16.52,-0.943272059559343
0.76,1,1.75,2,16.53,-0.944550698907248
0.76,1,1.75,2,16.54,-0.945965902760066
0.76,1,1.75,2,16.55,-0.947517962529481
0.76,1,1.75,2,16.56,-0.949207214593925
0.76,1,1.75,2,16.57,-0.951034040182262
0.76,1,1.75,2,16.58,-0.952998865270951
0.76,1,1.75,2,16.59,-0.955102160493951
0.76,1,1.75,2,16.6,-0.957344441064816
